0 [-1.20e+00, -3.22e+00]
500 [-1.56e+00, -3.16e+00]
1000 [-1.49e+00, -2.95e+00]
1500 [-1.40e+00, -2.88e+00]
2000 [-1.32e+00, -2.90e+00]
2500 [-1.26e+00, -2.94e+00]
3000 [-1.22e+00, -2.97e+00]
3500 [-1.20e+00, -2.99e+00]
4000 [-1.19e+00, -3.00e+00]
4500 [-1.18e+00, -3.01e+00]
5000 [-1.18e+00, -3.01e+00]
5500 [-1.18e+00, -3.02e+00]
6000 [-1.17e+00, -3.01e+00]
6500 [-1.17e+00, -3.01e+00]
7000 [-1.17e+00, -3.02e+00]
7500 [-1.17e+00, -3.02e+00]
8000 [-1.17e+00, -3.02e+00]
8500 [-1.17e+00, -3.02e+00]
9000 [-1.17e+00, -3.01e+00]
9500 [-1.17e+00, -3.01e+00]
10000 [-1.17e+00, -3.01e+00]
10500 [-1.17e+00, -3.02e+00]
11000 [-1.16e+00, -3.01e+00]
11500 [-1.16e+00, -3.01e+00]
12000 [-1.16e+00, -3.01e+00]
12500 [-1.16e+00, -3.01e+00]
13000 [-1.16e+00, -3.01e+00]
13500 [-1.16e+00, -3.01e+00]
14000 [-1.16e+00, -3.01e+00]
14500 [-1.16e+00, -3.01e+00]
15000 [-1.16e+00, -3.01e+00]
15500 [-1.16e+00, -3.01e+00]
16000 [-1.16e+00, -3.01e+00]
16500 [-1.16e+00, -3.01e+00]
17000 [-1.16e+00, -3.02e+00]
17500 [-1.16e+00, -3.01e+00]
18000 [-1.16e+00, -3.01e+00]
18500 [-1.16e+00, -3.01e+00]
19000 [-1.16e+00, -3.01e+00]
19500 [-1.16e+00, -3.01e+00]
20000 [-1.16e+00, -3.01e+00]
20000 [-1.16e+00, -3.01e+00]
20012 [-1.16e+00, -3.01e+00]
